"","bureau","CS1","CS2","CS3","CS4","CS5","CS6","CS7","CS8","18-24 ans","25-39 ans","40-54 ans","55-64 ans","65-79 ans","80 ans","Arthaud","Asselineau","Cheminade","Dupont_Aignan","Fillon","Hamon","Lassalle","Lepen","Macron","Melenchon","Poutou"
"192",1329,0,1.76895267659652,20.6097777311268,13.6027954689231,19.9576078249084,4.39903737093739,23.6341077813848,16.1106856679066,8.30700527790027,21.3074484494238,21.6328527077291,13.7466455460599,13.1920727788771,4.53023474813338,0.459418070444104,0.995405819295559,0.306278713629403,1.99081163859112,11.56202143951,9.18836140888208,0.382848392036753,7.65696784073507,19.3721286370597,22.6646248085758,0.918836140888208
"193",1330,0,1.72192267501688,29.8767418486101,15.9683020385952,10.4146692848505,3.682318483237,23.6343422752818,14.7303568898651,8.54171712253562,25.1765995523476,19.3976628264341,15.2638082106395,11.4494139747341,4.90366186664286,0.24390243902439,1.03658536585366,0.0609756097560976,1.52439024390244,13.0487804878049,11.280487804878,0.304878048780488,5.91463414634146,24.6951219512195,22.2560975609756,0.731707317073171
"194",1331,0,1.61739088598569,24.2168481428692,21.2098644263621,12.8662584433907,3.44325745623982,21.2561634541518,15.4125809243613,8.54183986592379,23.0319917259389,21.1230338209637,14.244124217619,11.710376263342,3.07833072887611,0.366032210834553,0.585651537335286,0.0732064421669107,2.19619326500732,16.3250366032211,8.78477306002928,0.512445095168375,4.31918008784773,34.0409956076135,17.6427525622255,0.512445095168375
"195",1332,0,0.800523919619789,19.4280186297379,21.7959060068459,16.6588848390101,4.68469397500328,21.5757063725833,15.0275316291881,8.83895411149158,24.4734970844517,21.2833762506701,13.7800606772945,11.1160299866767,3.88368892473046,0.532229450029568,0.887049083382614,0.118273211117682,2.06978119455943,11.6499112950917,10.1714961561206,0.532229450029568,5.26315789473684,22.7084565345949,24.9556475458309,1.41927853341218
"196",1333,0,1.80219602371113,26.6037313258944,16.6511683000501,15.9126293833427,4.75685296877838,9.45940622641094,24.8456747309887,19.1976091188698,30.5490106737028,17.8095660622323,10.1285865614323,5.8259537057822,2.1320801365026,0.29806259314456,1.04321907600596,0,2.08643815201192,6.85543964232489,8.64381520119225,0.596125186289121,4.17287630402385,20.2682563338301,28.7630402384501,0.596125186289121
"197",1334,0.0257501457936521,2.22850945640244,28.8101355148714,16.8380092573579,16.001359115113,5.90029398130795,8.03251891256693,22.1630731624166,11.8947431006676,23.0454416454845,24.9044900175831,10.176904847807,4.61245622668348,0.879354977782177,0.230813618003462,1.21177149451818,0.346220427005193,1.78880553952683,12.9832660126947,11.1367570686671,0.634737449509521,4.32775533756492,31.2752452394691,21.9272937103289,1.03866128101558
"198",1335,0,2.31426766798301,27.269572405682,17.4008269064804,13.206427432019,4.91318326573795,16.8218764726788,18.1146244950908,13.9591717524727,29.5884860792435,17.270621202255,11.4551312354604,8.78049951195229,3.90778558124923,0.243111831442464,1.13452188006483,0.162074554294976,2.0259319286872,14.7487844408428,8.83306320907618,0.486223662884927,5.18638573743922,25.6077795786062,20.1782820097245,0.648298217179903
"199",1336,0.0157418194769209,2.18732623932532,30.5042508120174,16.2525153715181,12.187666141637,3.23712875775953,17.7040601247138,17.8905452414449,15.267339446695,31.2493648333061,14.8673045883622,11.2254913322271,9.7544431405359,4.573592231258,0.216606498194946,1.01083032490975,0,1.66064981949458,16.8231046931408,9.67509025270758,0.0722021660649819,3.46570397111913,32.8519855595668,17.5451263537906,0.72202166064982
"200",1337,0,2.7829242723531,11.0647460692335,16.8984752598171,19.9582311485786,8.99947171898754,19.4757604381234,20.8547208677472,9.50358037476086,16.0697453765092,21.6711285755597,12.1680735388738,9.39426201903212,4.34934898173228,0.404390525707683,1.03986135181976,0.0577700751010976,2.19526285384171,9.8786828422877,8.60774119006355,1.09763142692086,6.64355863662623,24.3789716926632,21.7793183131138,0.693240901213172
"201",1338,0,2.21845958492295,25.1688885979098,12.8602363475575,12.5831983095121,4.36810093318696,23.2129863489168,19.628105825311,12.8998436648479,22.9502014072288,16.6015884162791,12.8284340707724,12.3825833421136,5.46900878085805,0.0735835172921266,1.1037527593819,0.22075055187638,1.91317144959529,23.3259749816041,5.37159676232524,0.367917586460633,4.63576158940397,27.0787343635026,14.0544518027962,0.809418690213392
"202",1339,0,2.7497696126203,20.1906494510827,14.0459431818448,16.1055097219011,6.49648723434258,17.931944079341,22.5032447935987,14.3404769220158,24.1511233590175,19.320294907927,10.8744048537437,9.52145904364519,3.96290711763318,0.337078651685393,1.06741573033708,0.112359550561798,1.40449438202247,15.1123595505618,9.32584269662921,0.280898876404494,4.71910112359551,25.1123595505618,20.561797752809,0.786516853932584
"203",1340,0,2.40932815712717,26.6841012385312,14.1070321596537,13.2903734270926,5.87472585514878,17.2743418468623,20.3379281813728,12.1320776895177,26.2568173512741,20.1428853126951,12.7781626908485,8.83667840930605,3.89931716685324,0.121212121212121,0.727272727272727,0.121212121212121,1.21212121212121,14.6060606060606,10.8484848484848,0.545454545454546,3.87878787878788,35.0909090909091,16.969696969697,0.424242424242424
