"bureau","inscrits","votants","blancs","exprimes","ARTHAUD","ASSELINEAU","CHEMINADE","DUPONT-AIGNAN","FILLON","HAMON","LASSALLE","LE PEN","MACRON","MÉLENCHON","POUTOU"
"1418","1563","1314","12","1294","9","10","1","26","222","164","7","55","473","311","16"
"1419","1624","1338","19","1312","6","13","1","21","173","215","4","58","458","355","8"
"1420","1417","1193","16","1174","10","15","3","29","175","160","9","84","379","298","12"
"1421","1377","1086","14","1065","5","16","1","27","179","133","4","105","279","302","14"
"1422","1463","1232","14","1214","3","18","1","23","208","152","8","86","441","266","8"
"1423","1513","1293","13","1274","5","16","4","20","217","177","9","67","451","295","13"
"1424","1606","1393","19","1369","4","7","2","23","284","155","4","54","554","273","9"
"1425","1545","1338","11","1325","3","11","0","23","288","146","7","33","569","232","13"
"1426","1280","1102","9","1087","0","9","1","14","329","106","2","50","406","162","8"
"1427","1083","923","4","918","1","1","0","17","325","68","3","31","369","97","6"
"1428","1498","1320","12","1303","3","7","1","22","389","106","5","32","557","178","3"
"1429","1504","1317","17","1297","4","8","2","15","234","193","8","38","549","235","11"
"1430","1332","1138","13","1123","3","5","1","10","325","116","3","53","464","139","4"
"1431","1320","1189","4","1184","1","6","1","11","334","130","1","25","538","126","11"
"1432","1438","1264","14","1243","5","5","1","20","298","120","9","52","521","203","9"
"1433","1532","1329","9","1317","4","12","3","18","382","128","4","49","539","174","4"
"1434","1361","1163","16","1142","5","10","1","16","301","113","7","34","439","206","10"
"1435","1406","1226","11","1206","1","6","2","18","254","133","4","48","551","183","6"
"1436","1284","1077","15","1057","5","12","1","16","213","108","5","83","353","250","11"
"1437","1448","1258","18","1235","3","19","2","28","223","145","8","104","455","245","3"
"1438","1245","1093","9","1084","3","8","2","10","238","166","5","54","397","195","6"
"1439","1381","1178","6","1170","4","15","2","27","260","113","6","56","428","255","4"
"1440","1552","1339","14","1319","3","12","3","19","307","133","9","59","511","251","12"
"1441","1532","1307","9","1295","3","7","5","18","324","146","6","35","522","226","3"
"1442","1574","1331","10","1317","0","5","0","27","282","188","8","80","482","236","9"
"1443","1493","1298","14","1281","4","11","2","30","308","163","9","59","464","228","3"
"1444","1448","1173","19","1147","2","14","2","33","228","132","7","93","334","291","11"
"1445","1502","1214","13","1194","6","12","0","23","211","166","3","87","337","342","7"
"1446","1332","1155","8","1142","1","6","1","20","266","123","10","46","458","207","4"
"1447","1421","1180","8","1164","3","10","1","39","298","100","12","78","377","238","8"
"1448","1491","1227","14","1211","6","14","2","28","219","139","13","98","400","281","11"
"1449","1520","1312","20","1287","1","8","0","32","263","150","8","55","498","267","5"
"1450","1521","1282","11","1268","7","10","3","31","321","143","5","41","489","213","5"
"1451","1410","1135","16","1109","2","12","2","39","244","114","7","89","339","254","7"
"1452","1481","1172","17","1147","6","8","5","42","181","129","7","118","326","316","9"
"1453","1485","1181","17","1158","6","11","4","30","198","124","11","124","343","292","15"
"1454","1552","1301","10","1282","3","13","4","32","305","161","4","97","422","231","10"
"1455","1548","1247","19","1221","4","11","0","38","213","144","5","109","403","285","9"
"1456","1438","1104","18","1074","4","11","4","55","129","108","6","175","294","272","16"
"1457","1521","1069","14","1042","9","19","3","27","123","112","7","164","265","303","10"
"1501","1268","1037","10","1025","1","10","1","27","346","65","5","40","400","127","3"
"1502","1398","1234","10","1220","2","7","1","18","480","84","6","42","436","137","7"
"1503","1319","1091","10","1076","3","15","1","18","275","91","7","90","395","172","9"
"1504","1619","1383","17","1361","2","6","2","28","443","102","10","52","531","177","8"
"1505","1624","1379","16","1356","2","4","1","18","455","103","5","61","522","181","4"
"1506","1553","1306","15","1291","4","10","1","19","443","121","8","45","511","123","6"
"1507","1532","1311","9","1291","0","13","3","19","478","91","4","59","499","122","3"
"1508","1389","1204","13","1189","2","8","3","22","400","81","7","44","496","123","3"
"1509","1497","1292","13","1276","2","5","2","15","489","99","8","50","448","153","5"
"1510","1541","1298","4","1289","4","9","2","21","503","90","1","57","441","156","5"
"1511","1525","1290","9","1279","5","8","0","37","518","61","7","58","462","119","4"
"1512","1684","1469","15","1451","2","6","1","23","551","96","8","65","541","153","5"
"1513","1646","1414","8","1404","3","15","1","21","459","108","6","51","569","165","6"
"1514","1634","1398","6","1390","0","13","1","22","555","64","5","64","504","159","3"
"1515","1597","1351","6","1340","5","10","1","31","601","69","5","69","418","127","4"
"1516","1662","1463","8","1453","2","10","4","30","653","73","6","71","476","126","2"
"1517","1500","1313","22","1288","0","8","2","25","570","64","5","97","354","154","9"
"1518","1353","1189","11","1172","0","8","1","24","513","64","6","71","371","111","3"
"1519","1418","1253","10","1237","1","8","2","27","539","80","11","39","403","125","2"
"1520","1479","1259","9","1248","0","9","0","24","576","69","7","41","424","93","5"
"1521","1371","1213","7","1202","2","2","1","18","607","53","5","42","389","80","3"
"1522","1388","1215","7","1207","1","7","1","10","513","55","7","56","461","95","1"
"1523","1540","1350","10","1335","1","5","1","18","587","72","9","42","515","85","0"
"1524","1552","1355","8","1340","2","6","1","11","650","64","4","28","484","86","4"
"1525","1571","1341","14","1324","4","18","1","22","461","98","5","55","539","112","9"
"1526","1566","1318","17","1293","4","9","1","20","454","103","7","85","464","145","1"
"1527","1471","1220","13","1205","1","10","2","23","335","129","4","85","423","189","4"
"1528","1487","1276","12","1258","6","6","2","26","428","91","9","64","490","130","6"
"1529","1562","1368","15","1349","2","5","0","25","493","101","5","55","498","158","7"
"1530","1524","1369","12","1352","3","10","1","26","523","88","6","44","528","121","2"
"1531","1556","1366","6","1357","4","7","0","16","587","74","4","40","482","137","6"
"1532","1489","1311","4","1305","1","8","1","27","533","90","5","48","483","102","7"
"1533","1519","1358","14","1340","1","5","2","13","557","103","13","52","463","125","6"
"1534","1608","1447","10","1432","1","7","3","22","511","111","7","62","532","170","6"
"1535","1594","1384","1","1368","1","10","2","19","416","96","12","72","527","203","10"
"1536","1556","1377","8","1360","3","9","3","20","425","109","7","60","544","175","5"
"1537","1587","1377","12","1363","4","5","3","15","418","109","7","66","579","148","9"
"1538","1475","1242","17","1213","6","12","2","22","305","125","11","62","401","261","6"
"1539","1530","1201","23","1174","3","19","2","29","246","93","5","111","367","293","6"
"1540","1529","1290","17","1263","6","17","2","33","319","112","13","71","412","269","9"
"1541","1610","1348","21","1320","2","8","2","26","422","134","5","54","493","167","7"
"1542","1082","903","11","887","1","9","2","20","297","62","4","47","298","137","10"
"1543","1339","1151","8","1140","5","13","1","21","444","66","10","50","393","135","2"
"1544","1535","1296","15","1276","5","7","1","29","345","110","8","74","454","238","5"
"1545","1568","1302","12","1284","6","5","0","29","305","138","11","89","453","237","11"
"1546","1511","1267","11","1252","0","12","3","28","446","95","6","65","459","133","5"
"1547","1600","1329","13","1309","2","22","1","24","277","134","13","92","482","253","9"
"1548","1559","1193","18","1171","4","6","3","27","258","114","6","129","297","307","20"
"1549","1476","1115","19","1094","7","9","1","31","208","107","10","112","324","272","13"
"1550","1486","1219","16","1200","6","17","2","19","310","111","9","80","427","205","14"
"1551","1570","1342","11","1324","7","15","1","31","407","126","6","83","476","168","4"
"1552","1512","1214","11","1195","6","14","4","35","254","101","10","142","349","273","7"
"1553","1528","1286","14","1270","5","13","2","21","362","126","8","62","475","189","7"
"1554","1486","1254","21","1228","1","12","1","25","363","133","8","65","444","170","6"
"1555","1526","1325","9","1311","4","13","0","28","368","130","4","61","504","191","8"
"1556","1538","1289","15","1270","3","10","2","22","400","97","6","64","485","173","8"
"1557","1506","1302","12","1288","3","13","1","14","491","98","5","42","509","107","5"
"1558","1488","1270","10","1256","4","9","2","28","361","107","3","56","540","140","6"
"1559","1509","1270","17","1250","2","9","3","36","444","92","5","59","434","163","3"
"1560","1587","1351","10","1331","2","7","3","28","494","119","13","64","456","139","6"
"1561","1490","1256","15","1239","3","8","0","29","388","92","5","65","459","189","1"
"1562","1486","1282","11","1267","2","7","2","29","446","114","5","55","485","118","4"
"1563","1390","1180","1","1171","0","7","1","23","429","110","5","42","461","89","4"
"1564","1329","1148","6","1137","1","7","3","27","378","98","4","77","388","147","7"
"1565","1341","1175","11","1161","2","10","2","24","401","79","3","54","421","155","10"
"1566","1525","1258","9","1242","0","4","1","15","449","94","8","67","425","176","3"
"1567","1591","1356","16","1336","3","13","0","24","388","104","6","67","529","199","3"
"1568","1588","1391","15","1371","1","4","1","23","488","113","6","44","539","144","8"
"1569","1602","1301","7","1283","0","12","0","38","323","116","6","73","479","229","7"
"1570","1656","1450","21","1426","2","9","0","29","454","121","7","61","566","170","7"
"1571","1652","1398","17","1379","4","8","0","28","479","106","5","59","496","189","5"
"1572","1504","1278","11","1262","3","16","2","23","369","109","10","79","440","206","5"
"1573","1401","1195","8","1182","2","8","1","31","451","63","3","49","457","110","7"
"1574","1590","1341","12","1327","3","5","1","21","489","90","12","71","467","164","4"
"1575","1404","1164","11","1148","1","10","1","39","401","76","11","70","398","138","3"
"1576","1176","914","11","898","5","11","1","27","130","85","3","121","242","262","11"
"1577","1496","1263","10","1247","4","15","1","30","366","90","8","79","425","224","5"
"1578","1044","869","11","857","1","5","2","18","215","75","2","56","302","176","5"
"1579","1219","1040","13","1025","1","5","1","24","318","90","4","61","373","142","6"
"1580","1482","1273","3","1259","6","14","1","47","343","114","6","101","436","183","8"
"1581","1505","1301","11","1286","5","9","1","27","378","109","7","67","506","169","8"
"1582","1447","1232","12","1212","3","15","2","27","387","103","9","81","366","209","10"
"1583","1525","1320","6","1314","0","5","3","21","537","74","7","39","485","135","8"
"1584","1432","1195","10","1173","4","14","4","36","369","84","13","67","419","156","7"
"1585","1514","1292","13","1272","4","20","1","38","361","113","10","92","455","172","6"
"1586","1216","1030","13","1010","2","6","3","26","333","79","5","58","359","136","3"
