"","bureau","distance","C11_POP15P","C11_POP15P_CS1","C11_POP15P_CS2","C11_POP15P_CS3","C11_POP15P_CS4","C11_POP15P_CS5","C11_POP15P_CS6","C11_POP15P_CS7","C11_POP15P_CS8","POP","POP02","POP0305","POP0610","POP1117","POP1824","POP2539","POP4054","POP5564","POP6579","POP80P","PARTHAUD","PASSELINEAU","PCHEMINADE","PDUPONTAIGNAN","PFILLON","PHAMON","PLASSALLE","PLEPEN","PMACRON","PMELENCHON","PPOUTOU"
"686",1753,5567.44121,2236.12377142874,0.0228684327162377,3.62269752146989,33.8183037285101,13.5890051973062,9.80331216604126,3.27181533457489,21.1291210179651,14.7227057418871,2570.65181254564,3.61366907159492,2.30882273385161,4.18623729316342,5.2888592960315,9.11939626746725,27.1789940804872,18.8767456175819,11.1027332747759,11.4128146646168,6.90058269286828,0.0627352572145546,0.878293601003764,0.0627352572145546,1.56838143036386,44.7302383939774,3.4504391468005,0.439146800501882,4.51693851944793,25.4077791718946,5.08155583437892,0.125470514429109
"687",1754,5174.07113,2234.83753711728,0.0518267420370727,4.08217775823713,33.5756488615011,11.8179608605131,9.55980858712963,2.64922044353745,19.7173479178661,18.5225294896224,2640.25821780867,3.32284050125415,3.65622712004594,4.21436052225448,7.80557340621903,7.61735789238141,23.8472035125159,20.4318249910909,12.413589723502,10.8161341264741,5.83405491887294,0.0645161290322581,0,0,0.709677419354839,45.4193548387097,4.58064516129032,0.451612903225806,3.2258064516129,26.7741935483871,4.70967741935484,0
"688",1755,5256.62821,2494.55206321687,0.200031208824511,3.84243585702687,36.81705184544,13.5410914152966,9.29552613653681,2.33859262155748,17.6480616829997,16.3134459187007,2945.83771208892,3.67748266732377,3.73399952503872,4.68559558982361,5.42017503167135,9.12580956759503,29.2001830890514,19.5093907339682,9.68378659533696,10.0659496669898,4.87897758600561,0.189993666877771,0.569981000633312,0.126662444585181,0.886637112096264,46.8017732742242,2.65991133628879,0.696643445218493,3.16656111462951,28.2457251424952,5.31982267257758,0.126662444585181
"689",1756,5468.29069,2204.21173251967,0.183882099923479,3.5907489446354,35.1176625892232,14.99077229997,9.34882148029703,2.12635284591826,18.3907579711335,16.2014366497978,2581.81026854155,3.95388207093947,3.5777204008325,4.37982730916388,4.39464057284016,10.5671072351409,28.834407340564,18.5138646034011,10.2733731563601,10.8500097648023,4.63247508380819,0,0.361663652802893,0,1.20554550934298,37.6130198915009,3.73719107896323,0.241109101868596,3.25497287522604,31.4044605183846,7.11271850512357,0.301386377335744
"690",1757,5784.45833,2087.38278862907,0.000881784733320027,2.92729691239262,18.8712798549495,14.3298014508946,17.8793971207942,4.97222807266074,23.8863505996306,17.1408501014485,2486.37055177665,3.23696610157695,3.06396521185614,5.53078998496963,7.75097061590276,9.35253782289693,18.55131145319,21.4757751761859,12.2438766137369,12.5056674065658,6.2814437947969,0,0.672947510094213,0.134589502018843,1.54777927321669,32.5033647375505,4.30686406460296,0.471063257065949,6.46029609690444,21.8707940780619,12.78600269179,0.269179004037685
"691",1758,5866.72473,2213.34871186695,0.040656412973988,3.23151930018628,21.8216556931887,13.8615599890821,16.5311057383388,4.02047400448599,23.1691277273954,17.3237022005888,2624.15583725186,3.39102372973026,2.99754047195357,5.14594110661012,7.49509304408281,9.71101636238867,19.1245534922844,21.4709499532122,12.2567291291541,12.1430109079853,6.26709144074262,0.205198358413133,0.615595075239398,0.27359781121751,2.46238030095759,33.8577291381669,4.24076607387141,0.410396716826265,7.18194254445964,21.3406292749658,11.2175102599179,0.27359781121751
"692",1759,5804.67777,2730.36815572067,0.374377811514421,4.24335066097737,28.8350797187406,12.9713567694547,14.132087559583,2.97224478142102,19.1578471266978,17.3124264956697,3213.32754356423,4.18494157489228,2.67806330781362,4.59304126696426,6.58193619595849,9.9160298030617,21.804245068981,20.011400788502,14.7249920435296,10.8245723536093,4.7092101378815,0,0.386100386100386,0.0643500643500644,1.35135135135135,43.3719433719434,3.73230373230373,0.257400257400257,4.6975546975547,22.3938223938224,5.98455598455598,0.321750321750322
"693",1760,5566.82723,2509.35803994978,0.116323567987821,3.56179122352769,37.5749264331554,13.0373578530349,8.57016100565859,3.94776937286637,19.5421839196544,13.6299912746259,2871.46591516314,3.25399672754233,2.07441915118093,4.02464589224714,5.04319477787404,9.77983081612933,28.9722197295479,17.2265553106747,12.1319505231129,10.6992041908897,6.79398288080094,0.135043889264011,0.742741390952059,0,1.41796083727211,45.1046590141796,3.64618501012829,0.405131667792032,2.4983119513842,25.59081701553,5.33423362592843,0.135043889264011
"694",1761,5409.46184,2094.04177938257,0.108216151302262,3.64592119255808,36.9525713546974,13.131655234729,9.16398170176575,2.52713516611933,19.2520566971316,15.2448161392081,2441.03352998551,3.30115062612243,2.79726419036924,4.26118543560285,6.62251880593398,8.76261352495453,28.2898605737839,18.5585829398663,10.7727254624526,11.1361479282623,5.48651443357523,0.067842605156038,0.067842605156038,0.067842605156038,1.01763907734057,46.8792401628222,1.83175033921303,0.203527815468114,3.12075983717775,27.8154681139756,5.29172320217096,0
"695",1762,5348.0383,2388.75362901256,0.148027506729343,4.53805084437591,33.5923226466951,12.6872546243566,9.91477575422657,3.05808131491488,19.4852418664075,16.6368758488738,2729.67220360958,2.91900844297511,2.60964570809968,3.39806870599911,6.24327346701998,10.1761826818963,26.7899897169459,18.678100340432,10.8464626618082,12.5984585673177,5.73945562907915,0.135043889264011,0.270087778528022,0.0675219446320054,1.2829169480081,45.5097906819716,3.37609723160027,0.270087778528022,2.16070222822417,28.0891289669142,4.65901417960837,0.0675219446320054
